id_obj,id_kot,id_kec,id_kel,index_risk,index_population,index_infenv,scvi,scvi_cat,population_density,vulnerable_employment_population,population_growth,population
197,Jakarta Timur,Cipayung,Bambu Apus,3.16355836308591,-0.2906971034969375,-3.038276422254131,-0.16541516266515854,Medium,9694.23877309,0.02784144279541612,-0.013858813339107838,34155
198,Jakarta Selatan,Kebayoran Baru,Cipete Utara,2.706057638161565,-2.6805754050878208,1.8904635202191744,1.9159457532929185,High,22750.94806,0.04011855615539325,-0.07068413252378448,38877
199,Jakarta Selatan,Pancoran,Pancoran,0.5879735432143545,-0.5986230894953053,-1.0758911368562991,-1.08654068313725,Medium,17298.080315,0.03076560659599529,-0.026851033041241257,24210
200,Jakarta Selatan,Pancoran,Kalibata,4.214299525985348,-0.9549327231018218,-1.1102679172382535,2.149098885645273,High,21810.8409533,0.026259743578821826,-0.03664508865747256,51342
201,Jakarta Selatan,Pancoran,Rawa Jati,5.641114715357288,1.0016413413348841,-3.5028542645718592,3.139901792120313,High,18177.900914500002,0.02011479910157225,-0.0019317210891935065,26867
202,Jakarta Selatan,Pancoran,Duren Tiga,4.430617820248388,-1.5940414936803844,-1.450092769003645,1.3864835575643588,High,16726.836385,0.03659571792372748,-0.03480091110918894,33476
203,Jakarta Selatan,Pancoran,Pengadegan,2.620247327994856,0.41148126269404484,-1.426817092024744,1.604911498664157,High,27046.2359854,0.03254593175853018,-0.028695780466214224,26334
204,Jakarta Selatan,Pancoran,Cikoko,3.8605083933910427,-2.9238311995359574,-0.6949854358353647,0.24169175801972065,Medium,18492.1271569,0.020684231222965,-0.04631709395089459,12313
205,Jakarta Selatan,Jagakarsa,Jagakarsa,6.9623097138985965,1.4657825967180966,-3.5917634256151185,4.836328885001574,Very High,16190.038193,0.03411989795918367,3.766478342749529e-4,82336
206,Jakarta Selatan,Jagakarsa,Srengseng Sawah,4.4633681494706705,-0.7529965070171504,-5.336547396998801,-1.6261757545452813,Medium,13447.4786535,0.037494177922682816,-0.0181579120373414,74674
207,Jakarta Selatan,Jagakarsa,Ciganjur,3.6392309917709182,1.3966010684009216,-5.248758132691292,-0.21292607251945217,Medium,14103.1631613,0.037514748471522044,-0.004414498141263941,51420
208,Jakarta Selatan,Jagakarsa,Lenteng Agung,4.715261383961337,0.6870699383510699,-5.058980596649683,0.3433507256627246,Medium,21473.1705137,0.03701401346287054,-0.027620742101185182,67769
209,Jakarta Selatan,Jagakarsa,Tanjung Barat,4.454918481601202,1.0208888288015208,-4.054621500757006,1.421185809645717,High,14314.6100628,0.031836773746023395,-0.009467455621301775,51057
210,Jakarta Selatan,Jagakarsa,Cipedak,2.53107922867628,2.6876505772322434,-6.061581651730173,-0.8428518458216496,Medium,12849.1686865,0.042881407846740736,0.0019412623971707542,52129
211,Jakarta Selatan,Pesanggrahan,Pesanggrahan,1.4432243886711453,-2.0309043420449697,-3.068050899602829,-3.6557308529766535,Low,17739.3809537,0.025132366086777144,-0.028541495597021266,34309
212,Jakarta Selatan,Pesanggrahan,Bintaro,1.653890267777152,-2.348933795420554,-6.057995398392941,-6.753038926036343,Very Low,14342.1370599,0.0157361820715281,-0.03047160901900602,65703
213,Jakarta Selatan,Pesanggrahan,Petukangan Utara,-0.2541982635055412,0.7531883287608176,0.16435785162788474,0.6633479168831612,Medium,24395.8449698,0.024420303889289927,-0.015026890224612465,68497
214,Jakarta Selatan,Pesanggrahan,Petukangan Selatan,1.0958332348334143,-2.251882896434781,-2.576021489105201,-3.7320711507065676,Low,21076.5785207,0.02396344471272425,-0.05275132720990983,44964
215,Jakarta Selatan,Pesanggrahan,Ulujami,3.317402076883152,0.003666020264584624,-3.9751023480990284,-0.654034250951292,Medium,25074.9040189,0.022604807154835104,-0.023173245781476674,51174
216,Jakarta Timur,Matraman,Pisangan Baru,-2.7465815543154335,1.542559235183136,1.0656921236673575,-0.13833019546493985,Medium,52595.1003513,0.04125036830685988,-0.04022377480761442,37915
217,Jakarta Timur,Matraman,Utan Kayu Utara,-2.5057496777316293,-1.381790363446662,1.3095314276415793,-2.578008613536712,Low,32495.1073728,0.02777443789828063,-0.03915897851172745,33223
218,Jakarta Timur,Matraman,Kayu Manis,-2.395572660154996,3.1913549675483894,2.3278016538647996,3.123583961258193,High,54749.4113971,0.060659501547266494,-0.03829098559637482,29712
219,Jakarta Timur,Matraman,Pal Meriam,-1.9321499010501837,-1.933250706317623,1.1532872771231684,-2.7121133302446383,Low,35145.0059918,0.02336468129571578,-0.05133316720657862,22842
220,Jakarta Timur,Matraman,Kebon Manggis,-1.3781097296288638,-2.9453419779145635,-0.13236276129362173,-4.4558144688370485,Low,24574.7008075,0.03325653611138936,-0.03720790291846354,19200
221,Jakarta Timur,Matraman,Utan Kayu Selatan,-3.216373365051528,-0.33698653718672567,1.511698249573216,-2.041661652665038,Low,35111.5153846,0.030455535955172773,-0.03383703275251247,40089
222,Jakarta Timur,Pulo Gadung,Pulo Gadung,-1.8413153256571628,-1.4540714956787177,-0.33626145421554343,-3.631648275551424,Low,23416.893945,0.02063203219109619,-0.030525601740310167,41446
223,Jakarta Timur,Pulo Gadung,Pisangan Timur,-2.892270181250146,-0.573170514391263,2.349521070263139,-1.11591962537827,Medium,27191.4594143,0.03229800846145908,-0.032657168791191446,49023
224,Jakarta Timur,Pulo Gadung,Cipinang,-1.829700673643501,-2.7530420328477656,1.0693704807619155,-3.513372225729351,Low,30840.2390276,0.014346544382574516,-0.04135197941737904,46203
225,Jakarta Timur,Pulo Gadung,Jatinegara Kaum,-1.4802179482030569,-2.002811350677984,-1.0884394456345647,-4.571468744515606,Low,22632.1811632,0.048223350253807105,-0.05783362494035311,29617
226,Jakarta Timur,Pulo Gadung,Rawamangun,-3.0461982593503505,-0.4490613926014219,0.36854223725663093,-3.1267174146951415,Low,16920.4505011,0.03427236436218472,-0.035674736727825423,44412
227,Jakarta Timur,Pulo Gadung,Kayu Putih,-0.4071141155795486,-0.171974705089876,-1.1684788876624375,-1.7475677083318621,Medium,12629.363789000001,0.043894342097174126,-0.031463093671491804,48576
228,Jakarta Timur,Pulo Gadung,Jati,-0.4226373469960176,-0.0439132164854148,0.8632380838816911,0.3966875204002587,Medium,18674.6235959,0.023333512960068976,-0.02823878495272581,38645
229,Jakarta Timur,Jatinegara,Kampung Melayu,4.496758428907218,4.808467531031486,-0.7742647093968127,8.53096125054189,Very High,66214.3879317,0.06614988763313032,-0.03793635895727997,31776
230,Jakarta Timur,Jatinegara,Bidara Cina,5.118269859962222,-0.2848518284515414,-4.2798849574356685,0.5535330740750117,Medium,34641.1737341,0.03402989081797029,-0.035325116112897466,43202
231,Jakarta Timur,Jatinegara,Bali Mester,-1.7918041668889042,-0.7950124196795717,0.3948377728895235,-2.1919788136789524,Low,16283.165319,0.03381934259339142,-0.028160255840810163,10940
232,Jakarta Timur,Jatinegara,Rawa Bunga,-2.2745888758846595,2.7014581028502267,0.4884026970852907,0.9152719240508579,Medium,30591.895457,0.051492894778859974,-0.03414507000297885,25939
233,Jakarta Timur,Jatinegara,Cipinang Cempedak,0.8168859250548886,-0.8920837430464031,0.25038757155475255,0.17518975356323796,Medium,23686.5697889,0.026950725395373153,-0.03371043019480519,38095
234,Jakarta Timur,Jatinegara,Cipinang Muara,-1.0567764208146946,0.905988107259029,-1.1548850834421032,-1.3056733969977687,Medium,25371.4436277,0.04274654998317065,-0.02659482510228779,67566
235,Jakarta Timur,Jatinegara,Cipinang Besar Selatan,-1.637702212085361,2.1741445532878028,-2.07188903812663,-1.5354466969241882,Medium,26095.5297989,0.05192252247529683,-0.02765108323831243,44343
236,Jakarta Timur,Jatinegara,Cipinang Besar Utara,-2.536352471135673,1.9641692207766894,1.2107292228017794,0.6385459724427958,Medium,50315.5746522,0.04079125418417492,-0.03393883885411896,56958
237,Jakarta Timur,Kramat Jati,Kramat Jati,1.946818449383136,-1.3634922309169135,-1.9154883915993937,-1.3321621731331712,Medium,27144.9861157,0.03002857434432085,-0.03887033100516247,41145
238,Jakarta Timur,Kramat Jati,Kampung Tengah,0.25755057177235785,2.0429493898132094,0.8753533627644572,3.175853324350024,High,29058.7954251,0.028759894459102903,-0.017779239664843155,56737
239,Jakarta Timur,Kramat Jati,Dukuh,0.580696179340501,0.5265115338576848,-2.787705271340313,-1.6804975581421275,Medium,18101.2463356,0.030691501395068245,-0.022694592060018757,31264
240,Jakarta Timur,Kramat Jati,Bale Kambang,1.2742586039535284,1.095858743777903,-2.4503267499842556,-0.08020940225282391,Medium,22562.3717042,0.03239324198483438,-0.012695439527563152,37951
